subID	Model	eta	Mp	wp	nll
55	3	1	3.712105e+00	2.531646e-02	2.256974e+02
55	4	1	6.458424e-01	1.265823e-01	2.301330e+02
55	5	1	1.299942e+00	0	2.312755e+02
55	6	1	1.791284e-01	1.772152e-01	2.302305e+02
55	7	1	1.156888e+00	2.531646e-02	2.315579e+02
56	1	5.115178e-01	NaN	NaN	1.833403e+02
56	2	1.262600e-01	NaN	NaN	2.379949e+02
56	3	1	1.418727e-01	2.278481e-01	1.785277e+02
56	4	1	1.123655e-01	0	2.277391e+02
56	5	1	1.262600e-01	2.531646e-02	2.277347e+02
56	6	1	1.123655e-01	0	2.380650e+02
56	7	1	1.000000e-01	0	2.378123e+02
57	1	1000	NaN	NaN	3.834256e+02
57	2	7.048574e+02	NaN	NaN	3.834944e+02
57	3	1	5.582586e+02	1.316456e+00	3.830517e+02
57	4	1	8.899530e+02	1.164557e+00	3.830807e+02
57	5	1	1.594159e-01	2	3.780589e+02
57	6	1	1000	1.443038e+00	3.831567e+02
57	7	1	1.123655e-01	2	3.814833e+02
58	1	2.940048e+00	NaN	NaN	2.885850e+02
58	2	2.072315e+00	NaN	NaN	2.903351e+02
58	3	1	6.458424e-01	2.025316e-01	2.884121e+02
58	4	1	1.123655e-01	2.025316e-01	2.865625e+02
58	5	1	6.458424e-01	1.012658e-01	2.900678e+02
58	6	1	1.418727e-01	2.025316e-01	2.867341e+02
58	7	1	1.844263e+00	0	2.898629e+02
59	1	4.171125e+00	NaN	NaN	2.026573e+02
59	2	3.712105e+00	NaN	NaN	1.999354e+02
59	3	1	1.123655e-01	2.278481e-01	1.849494e+02
59	4	1	1.791284e-01	2.278481e-01	1.863649e+02
59	5	1	1.123655e-01	2.278481e-01	1.864076e+02
59	6	1	1.123655e-01	2.278481e-01	1.863654e+02
59	7	1	1.262600e-01	2.278481e-01	1.862036e+02
60	1	1.460686e+00	NaN	NaN	1.543716e+02
60	2	1.299942e+00	NaN	NaN	1.580024e+02
60	3	1	1.460686e+00	0	1.545028e+02
60	4	1	2.261676e-01	1.265823e-01	1.563957e+02
60	5	1	2.541343e-01	1.265823e-01	1.573239e+02
60	6	1	1.000000e-01	1.518987e-01	1.564226e+02
60	7	1	4.552268e-01	1.012658e-01	1.573180e+02
