subID	TimeConstraint	modeli	name	scl	eta	Mp	wp	nll	nllsd	success	iterations
28	1.5	1	dDNb	1	0.104605674743652	1	1	78.469040502143	0.0471138267202902	2	13
28	1.5	2	dDNd	1	0.0933364079333842	1	1	78.0612749077475	0.0547140403184126	2	15
29	10	1	dDNb	1	0.228738737106323	1	1	154.341135400856	0.0744691334654194	2	11
29	10	2	dDNd	1	0.235465755313635	1	1	154.323632466612	0.0796998293354848	2	15
29	1.5	1	dDNb	1	0.635102415084839	1	1	181.002194117252	0.0478003548470322	2	17
29	1.5	2	dDNd	1	0.630538940429688	1	1	180.974521356154	0.0790004526705463	2	10
30	10	1	dDNb	1	0.240848384480296	1	1	103.337421256603	0.0726786345565907	2	17
30	10	2	dDNd	1	0.24131789393723	1	1	102.69850362508	0.0845061843208631	2	12
30	1.5	1	dDNb	1	0.318270462751389	1	1	130.29401524009	0.0654858259823464	2	15
30	1.5	2	dDNd	1	0.303619563486427	1	1	129.74956815583	0.0850829002431167	2	14
31	10	1	dDNb	1	1.99999188549118	1	1	200.163017210583	0.0896087641453195	2	14
31	10	2	dDNd	1	1.99990234375	1	1	197.329952159882	0.0673492563644994	2	11
31	1.5	1	dDNb	1	1.99999461174011	1	1	176.132891479765	0.0910224384014072	2	10
31	1.5	2	dDNd	1	1.99999454950448	1	1	174.391588507697	0.0544160410400927	2	13
32	10	1	dDNb	1	0.305314628376072	1	1	136.804902939038	0.0717284344778779	2	28
32	10	2	dDNd	1	0.282186731696129	1	1	136.11440135551	0.0857127059869556	2	14
32	1.5	1	dDNb	1	0.446032940360021	1	1	159.223963603229	0.0911610382844398	1	17
32	1.5	2	dDNd	1	0.42954069674015	1	1	158.357206895661	0.072944815877195	2	14
33	10	1	dDNb	1	1.99061603546143	1	1	198.23740583859	0.0859334424517281	2	11
33	10	2	dDNd	1	1.97112613916397	1	1	198.170318801379	0.0750090228897993	1	20
33	1.5	1	dDNb	1	1.64751534163952	1	1	175.101802054993	0.0734475946332609	2	13
33	1.5	2	dDNd	1	1.99999961853027	1	1	174.989009188426	0.0787864409378471	2	12
34	10	1	dDNb	1	0.104134750366211	1	1	79.5961208287908	0.0608238524743708	2	14
34	10	2	dDNd	1	0.0885009765625	1	1	75.8959183798852	0.0600101003209685	2	18
34	1.5	1	dDNb	1	0.14599609375	1	1	79.9460761652515	0.0649269486472825	2	10
34	1.5	2	dDNd	1	0.150468444824219	1	1	79.3118732203891	0.0755444951894077	2	13
35	10	1	dDNb	1	0.199151200056076	1	1	83.3011697091538	0.0882534162339942	1	23
35	10	2	dDNd	1	0.201202392578125	1	1	83.6958456659665	0.105398718036264	1	19
35	1.5	1	dDNb	1	0.214248657226562	1	1	85.3168259368647	0.0826382112380512	2	14
35	1.5	2	dDNd	1	0.21337890625	1	1	85.9677387421131	0.0693914009312378	2	9
36	10	1	dDNb	1	0.177160930633545	1	1	88.025957110713	0.0796620868142541	2	12
36	10	2	dDNd	1	0.1813720703125	1	1	88.8324671277897	0.067392635606486	2	11
36	1.5	1	dDNb	1	0.2107421875	1	1	91.801494945349	0.0562182101717072	2	9
36	1.5	2	dDNd	1	0.221724510192871	1	1	91.6186283143907	0.0590199768785047	2	13
37	10	1	dDNb	1	0.692366350069302	1	1	181.57013895325	0.0507796527811092	1	23
37	10	2	dDNd	1	0.694140625	1	1	181.46660036153	0.0781170641191088	2	11
37	1.5	1	dDNb	1	1.97223220975648	1	1	198.432869344311	0.0727207767102379	2	15
37	1.5	2	dDNd	1	1.99999865293503	1	1	198.44661352086	0.0790898751382312	2	19
38	10	1	dDNb	1	0.15537109375	1	1	104.885447949566	0.0741449678937313	2	9
38	10	2	dDNd	1	0.161712528765202	1	1	107.569110771756	0.0713057001645703	2	15
38	1.5	1	dDNb	1	0.380476915836334	1	1	157.757608259475	0.0711455731659506	2	13
