subID	modeli	eta	Mp	wp	nll
51	6	1	-1.00E-01	5.32E-01	1.85E+02
51	7	1	1.00E-01	5.32E-01	2.22E+02
52	1	2.29E+01	NaN	NaN	3.48E+02
52	2	2.29E+01	NaN	NaN	3.48E+02
52	3	1	2.89E+01	-1.77E-01	3.47E+02
52	4	1	7.44E+01	-1.24E+00	3.43E+02
52	5	1	7.44E+01	-1.29E+00	3.44E+02
52	6	1	7.44E+01	-1.24E+00	3.43E+02
52	7	1	7.44E+01	-1.24E+00	3.44E+02
53	1	2.15E+00	NaN	NaN	1.60E+02
53	2	1.06E+00	NaN	NaN	1.46E+02
53	3	1	-1.00E-01	3.80E-01	1.31E+02
53	4	1	-2.57E-01	2.78E-01	1.31E+02
53	5	1	1.00E-01	2.28E-01	1.36E+02
53	6	1	-2.57E-01	2.78E-01	1.29E+02
53	7	1	1.60E-01	2.28E-01	1.36E+02
54	1	7.90E+02	NaN	NaN	3.59E+02
54	2	3.89E+02	NaN	NaN	3.58E+02
54	3	1	6.24E+02	-7.85E-01	3.58E+02
54	4	1	4.92E+02	6.33E-01	3.58E+02
54	5	1	3.89E+02	1.75E+00	3.58E+02
54	6	1	3.89E+02	1.65E+00	3.58E+02
54	7	1	4.92E+02	6.33E-01	3.58E+02
55	1	4.38E+00	NaN	NaN	2.27E+02
55	2	1.34E+00	NaN	NaN	2.32E+02
55	3	1	4.38E+00	-2.53E-02	2.26E+02
55	4	1	-2.03E-01	2.28E-01	2.30E+02
55	5	1	8.38E-01	2.53E-02	2.31E+02
55	6	1	4.12E-01	1.77E-01	2.30E+02
55	7	1	1.34E+00	-2.53E-02	2.31E+02
56	1	5.22E-01	NaN	NaN	1.83E+02
56	2	1.27E-01	NaN	NaN	2.38E+02
56	3	1	1.60E-01	2.28E-01	1.79E+02
56	4	1	1.00E-01	2.53E-02	2.28E+02
56	5	1	1.60E-01	2.53E-02	2.28E+02
56	6	1	-1.00E-01	2.28E-01	2.04E+02
56	7	1	1.00E-01	2.53E-02	2.38E+02
57	1	-7.44E+01	NaN	NaN	3.82E+02
57	2	-5.88E+01	NaN	NaN	3.82E+02
57	3	1	-2.15E+00	2	3.79E+02
57	4	1	1.80E+01	-1.75E+00	3.79E+02
57	5	1	8.89E+00	-2	3.77E+02
57	6	1	1.13E+01	-2	3.81E+02
57	7	1	8.89E+00	-2	3.74E+02
58	1	2.73E+00	NaN	NaN	2.89E+02
58	2	2.15E+00	NaN	NaN	2.90E+02
58	3	1	2.73E+00	2.53E-02	2.89E+02
58	4	1	-6.61E-01	2.78E-01	2.86E+02
58	5	1	1.70E+00	2.53E-02	2.90E+02
58	6	1	1.00E-01	2.28E-01	2.87E+02
58	7	1	2.57E-01	1.27E-01	2.90E+02
59	1	4.38E+00	NaN	NaN	2.02E+02
59	2	4.38E+00	NaN	NaN	2.05E+02
59	3	1	-3.46E+00	3.80E-01	1.82E+02
59	4	1	-3.46E+00	3.80E-01	1.83E+02
59	5	1	-3.46E+00	3.80E-01	1.83E+02
59	6	1	-2.73E+00	3.80E-01	1.84E+02
59	7	1	-2.15E+00	3.29E-01	1.84E+02
60	1	1.34E+00	NaN	NaN	1.55E+02
60	2	1.34E+00	NaN	NaN	1.58E+02
60	3	1	1.70E+00	-2.53E-02	1.55E+02
60	4	1	-1.00E-01	1.77E-01	1.56E+02
60	5	1	-1.60E-01	1.77E-01	1.58E+02
60	6	1	-1.27E-01	1.77E-01	1.56E+02
60	7	1	-1.27E-01	1.77E-01	1.57E+02
